index,product,sub_category,brand,sale_price,market_price,type,rating,Quantity,description
1,Garlic Oil - Vegetarian Capsule 500 mg,Hair Care,Sri Sri Ayurveda ,248.6,248.6,Hair Oil & Serum,4.1,155,"This Product contains Garlic Oil that is known to help proper digestion, maintain proper cholesterol levels, support cardiovascular and also build immunity.  For Beauty tips, tricks & more "
2,Water Bottle - Orange,Storage & Accessories,Mastercook,203.4,203.4,Water & Fridge Bottles,2.3,155,"Each product is microwave safe (without lid), refrigerator safe, dishwasher safe and can also be used for re-heating food and not for cooking. All containers come with airtight lids and a wide variety of attractive colours. Stack these stylish and colourful containers in your kitchen with ease and for a look-good factor."
3,"Brass Angle Deep - Plain, No.2",Pooja Needs,Trm,134.47,282.5,Lamp & Lamp Oil,3.4,196,"A perfect gift for all occasions, be it your mother, sister, in-laws, boss or your friends, this beautiful designer piece wherever placed, is sure to beautify the surroundings Traditional design This type diya has been used for Diwali and All other Festivals for centuries. Sturdy and easy to carry The feet keep it balanced to ensure safety. Wonderful Oil Lamp made in Brass also called as Jyoti. This is a handcrafted piece of Indian brass Deepak."
4,Cereal Flip Lid Container/Storage Jar - Assorted Colour,Bins & Bathroom Ware,Nakoda,168.37,198.88,"Laundry, Storage Baskets",3.7,208,"Multipurpose container with an attractive design and made from food-grade plastic for your hygiene and safety ideal for storing pulses. Grains, spices, and more with easy opening and closing flip-open lid. Strong, durable and transparent body for longevity and easy identification of contents. Multipurpose storage solution for your daily needs stores your everyday food essentials in style with the Nakoda container set. With transparent bodies, you can easily identify your stored items without having to open the lids. These containers are ideal for storing a large variety of items such as food grains, snacks and pulses to sugar, spices, condiments and more. Featuring unique flip-open lids, you can easily open and close this container without any hassles.
The Nakoda container is made from high-quality food-grade and BPA-free plastic that is 100% safe for storing food items. You can safely store your food items in this container without worrying about contamination and harmful toxins. As they are constructed using highly durable virgin plastic, this container will last for a long time even with regular use. This container can enhance the overall look of your kitchen decor. Being dishwasher safe, cleaning and maintaining this container is an easy task. You can also use a simple soap solution to manually wash and retain their looks for a long time."
5,Creme Soft Soap - For Hands & Body,Bath & Hand Wash,Nivea,183.06,183.06,Bathing Bars & Soaps,4.4,201,"Nivea Creme Soft Soap gives your skin the best care that it must get. The soft bar consists of Vitamins F and Almonds which are really skin gracious and help you get great skin. It provides the skin with moisture and leaves behind flawless and smooth skin. It makes sure that your body is totally free of germs & dirt and at the same time well nourished.For Beauty tips, tricks & more "
6,Germ - Removal Multipurpose Wipes,All Purpose Cleaners,Nature Protect,190.97,224.87,Disinfectant Spray & Cleaners,3.3,66,"Stay protected from contamination with Multipurpose Germ Removal Wipes by Nature Protect, a quality product by Hindustan Unilever Limited, the makers of Surf Excel and Lifebuoy. Infused with neem extract Nature Protect Multipurpose Germ removal wipes helps in cleaning and 99.9% germ removal^. Neem extracts are known to have the power of 100 bio-actives with both anti-viral and anti-bacterial capabilities.
Wipes made from 100% biodegradable fabric and balanced with skin’s pH level, our on-the-go hygiene wipes are safe to use on not just surfaces, but human skin, so you can disinfect any exposed parts of your body – such as your hands, elbows, or wrists – as well as the surfaces they’ve touched.  A thorough cleaning with on-the-go hygiene wipes helps in keeping surfaces hygienically clean, both inside and outside your home. Packaged neatly to enable quick, easy removal, these on-the-go hygiene wipes will help you stay protected whether you stay indoors or move out and about.
^ As per lab test conducted on representative organisms.* Always spot test on hidden area to check compatibility."
7,Multani Mati,Skin Care,Satinance,65.54,65.54,Face Care,3.6,101,"Satinance multani matti is an excellent skin toner and astringent. reduces oiliness and while nourishing the skin, keeps it soft and grime. improves complexion by facilitating better blood circulation.  For Beauty tips, tricks & more "
8,Hand Sanitizer - 70% Alcohol Base,Bath & Hand Wash,Bionova,282.5,282.5,Hand Wash & Sanitizers,4,62,70%Alcohol based is gentle of hand leaves skin soft and moist with a good fragrance. It is really safe for the skin.
9,Biotin & Collagen Volumizing Hair Shampoo + Biotin & Collagen Hair Conditioner,Hair Care,StBotanica,1240.74,1240.74,Shampoo & Conditioner,3.5,208,"An exclusive blend with Vitamin B7 Biotin, Hydrolyzed collagen, Oat Extract along with premium & organic cold-pressed ingredients helps to infuse nutrients into every strand and creates the appearance of thicker, fuller healthier looking hair. This powerful formula helps volumize even the skinniest strands into fuller and more abundant looking locks. It is safe for color-treated hair and safe for all hair types. St Botanica Biotin & Collagen Hair Conditioner has been specially formulated to repair dry & damaged hair for full, thick, voluminous, shiny & healthy looking hair! The amazing hair conditioner ingredients include Biotin, Hydrolyzed Collagen, Pro-Vitamin B5, Vitamin E, & Hydrolyzed Silk Proteins for glistening looking hair. Biotin and Collagen, infused with most efficacious natural extracts not only promotes healthy hair growth but also prevents hair dryness, increases the elasticity of the hair cortex, thereby strengthening hair, minimizing hair breakage and helping hair grow longer, healthier and thicker. PLUMP IT UP: the nutrient-rich, plump-it-up power of this haircare infused with ProVitamin B7 biotin and collagen helps give each strand of hair a beautiful boost, this dynamic duo will leave your hair feeling thicker, fuller, and looking oh, so healthy."
10,"Scrub Pad - Anti- Bacterial, Regular","Mops, Brushes & Scrubs",Scotch brite,22.6,22.6,"Utensil Scrub-Pad, Glove",4.3,141,"Scotch Brite Anti- Bacterial Scrub Pad thoroughly cleanses dishes and keeps the kitchen utensils squeaky clean with a pleasant neem fragrance. The scrub is gentle on the hands and does not wear off easily, while eliminating bacteria and making your utensils sparkle and look as good as new with every wash."
